number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_gamma,log2_layer_2,activation_3,schel_t_max_mod,shchel_eta_min,schel_step_size,log2_layer_3,activation_4
69,-1.3178519407908122,3.0,3,2,gelu,3.0,leaky_relu,leaky_relu,3.0,max,0.01622996879516691,0.0003755637902248245,6.0,cosine,,3.0,relu,3.0,1e-05,,,
70,0.3773072560628255,4.0,3,3,gelu,5.0,tanh,relu,3.0,max,0.09837130699627969,0.00026849430297446863,7.0,cosine,,4.0,tanh,2.0,0.0,,,
71,0.43487344185511273,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07904452164063794,0.0004890128335928104,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
72,0.4436026414235433,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07458713033620601,0.00014014201944821767,7.0,cosine,,3.0,tanh,2.0,1e-06,,,
73,0.31325920422871906,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07490881791200307,0.0001098067273254414,7.0,cosine,,3.0,tanh,2.0,1e-06,,,
74,0.28192879756291706,4.0,3,4,sigmoid,6.0,leaky_relu,leaky_relu,3.0,max,0.0719428643792917,0.0001562256914591042,7.0,cosine,,2.0,tanh,2.0,1e-06,,,
75,0.21809901793797812,3.0,3,2,leaky_relu,5.0,leaky_relu,gelu,3.0,max,0.08026903000422736,0.00028019988756138785,7.0,exponential,0.9482395596918897,4.0,tanh,,,,,
76,-0.14921782414118448,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.10311756276340062,0.00047798790532862205,7.0,step,0.7295683754886559,2.0,identity,,,20.0,,
77,0.34317336479822796,3.0,3,3,identity,5.0,elu,leaky_relu,3.0,mean,0.06142049329178536,0.0006519799776335838,7.0,cosine,,3.0,tanh,3.0,1e-06,,,
78,-0.5689190228780111,4.0,3,4,gelu,4.0,leaky_relu,leaky_relu,3.0,max,0.09533951536652688,0.00022759055043587194,6.0,cosine,,3.0,tanh,2.0,1e-06,,,
79,0.334918737411499,4.0,3,2,gelu,6.0,leaky_relu,tanh,3.0,max,0.08072640802994968,8.367792662301772e-05,7.0,cosine,,4.0,tanh,1.0,1e-05,,,
80,0.3269015351931254,3.0,3,7,relu,7.0,leaky_relu,identity,3.0,linear,0.07436086016591503,0.00014922670367354418,7.0,cosine,,3.0,sigmoid,5.0,0.0,,,
81,0.4359592795372009,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08580056981240021,0.0003186186468046747,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
82,0.4411790370941162,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08493004238219627,0.0001259968620334286,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
83,0.4414134422938029,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.09248327156578326,0.00012440820551642913,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
84,-2.0626104275385537,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.06836789502703397,3.598909858662451e-05,7.0,cosine,,4.0,gelu,2.0,1e-05,,,
85,0.050308803717295326,4.0,3,3,gelu,5.0,relu,relu,3.0,max,0.08570081594133051,0.00012767723040557537,7.0,cosine,,4.0,elu,2.0,1e-05,,,
86,-2.2372883955637612,4.0,3,3,elu,6.0,relu,leaky_relu,3.0,max,0.10049047373312006,7.705294409119554e-05,7.0,exponential,0.9246450185433568,4.0,tanh,,,,,
87,-0.5233998894691467,4.0,3,2,gelu,6.0,relu,leaky_relu,3.0,max,0.09324437428038404,0.0003029434549021539,7.0,cosine,,4.0,relu,3.0,0.0001,,,
88,0.41423189640045166,4.0,3,3,sigmoid,4.0,relu,gelu,3.0,max,0.10870030637954749,6.270746728154539e-05,7.0,cosine,,10.0,tanh,2.0,1e-05,,,
89,-0.43228723605473834,4.0,3,4,gelu,7.0,relu,leaky_relu,3.0,max,0.07718208235913276,0.0001867619569980141,6.0,step,0.5549906473419437,2.0,identity,,,25.0,,
90,0.40854591131210327,4.0,3,3,leaky_relu,5.0,relu,leaky_relu,3.0,max,0.14736912830115603,0.0008286774726544062,8.0,cosine,,4.0,tanh,2.0,1e-05,,,
91,0.4044185479482015,3.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.09027629078209143,0.0001247076046031932,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
92,0.4373892943064372,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08209206621107557,0.00022775876929080635,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
93,0.3885022799173991,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08139615675538567,0.0003147475774995637,7.0,cosine,,2.0,tanh,2.0,1e-05,,,
94,0.4241320689519246,4.0,3,4,gelu,6.0,relu,leaky_relu,3.0,max,0.07167721790267194,0.00018062465017222525,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
95,0.3602483868598938,4.0,3,2,identity,5.0,relu,leaky_relu,3.0,max,0.08587827473164715,0.0005515726388932585,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
96,0.28109099467595416,4.0,3,3,gelu,7.0,identity,tanh,3.0,mean,0.06504086396013636,0.00022585756476997963,7.0,cosine,,3.0,tanh,1.0,1e-05,,,
97,0.38424187898635864,4.0,3,4,gelu,5.0,tanh,identity,3.0,max,0.09523505962445411,0.0004061295692023741,7.0,cosine,,5.0,tanh,2.0,0.0001,,,
98,0.40794241428375244,4.0,3,8,relu,7.0,sigmoid,leaky_relu,3.0,max,0.07415996894622753,0.00010767280195149614,7.0,cosine,,4.0,tanh,3.0,1e-05,,,
99,0.41067641973495483,4.0,3,2,gelu,6.0,relu,leaky_relu,3.0,max,0.0813957175891871,0.00033166243656252754,7.0,cosine,,3.0,sigmoid,2.0,1e-05,,,
