number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,schel_step_size,schel_gamma,log2_layer_2,activation_3,schel_t_max_mod,shchel_eta_min,log2_layer_3,activation_4,log2_layer_4,activation_5
84,0.16054314374923706,2,8,leaky_relu,8.0,sigmoid,leaky_relu,0.0001337175333982893,0.000683774122074259,7,cosine,,,,,1.0,0.001,,,,
85,0.43403100967407227,3,9,leaky_relu,11.0,leaky_relu,leaky_relu,0.09322767840919899,0.001208155468554217,8,cosine,,,12.0,leaky_relu,2.0,0.001,,,,
86,0.415655513604482,1,8,tanh,,,leaky_relu,0.10077242450859511,0.0008413891957767978,7,cosine,,,,,1.0,0.0001,,,,
87,0.4370881716410319,5,8,leaky_relu,10.0,gelu,elu,0.11329900006086586,0.000988489666705316,7,cosine,,,9.0,sigmoid,2.0,0.001,8.0,tanh,8.0,relu
88,0.41593414545059204,3,9,elu,6.0,gelu,leaky_relu,0.11922592808394486,0.0005536570123517098,6,cosine,,,11.0,elu,1.0,1e-05,,,,
89,0.42785072326660156,2,7,tanh,8.0,gelu,identity,0.06915978569853717,0.0014170288250448587,7,exponential,,0.958300436278999,,,,,,,,
90,0.2503102819124858,3,9,sigmoid,7.0,gelu,identity,0.09679962086682939,0.0004552001127724035,9,step,5.0,0.7145879059082091,10.0,relu,,,,,,
91,0.46121195952097577,2,6,leaky_relu,9.0,gelu,sigmoid,0.13070326304134372,0.00029020360209628304,7,cosine,,,,,3.0,0.001,,,,
92,0.45825854937235516,2,7,leaky_relu,9.0,gelu,tanh,0.14607248635030454,0.0002691677486817949,7,cosine,,,,,3.0,0.001,,,,
93,0.44265403350194293,2,5,leaky_relu,9.0,gelu,identity,0.14580427741931165,0.0002946292011250133,7,cosine,,,,,3.0,0.001,,,,
94,0.4614565372467041,2,7,leaky_relu,10.0,gelu,tanh,0.13870193511728698,0.0001875577890276118,7,cosine,,,,,2.0,0.001,,,,
95,0.4650386969248454,2,7,leaky_relu,10.0,gelu,tanh,0.1382446900691735,0.0001075998012023972,7,cosine,,,,,3.0,0.001,,,,
96,0.4523361523946126,2,7,leaky_relu,12.0,gelu,tanh,0.1374083226419342,0.0002064453709075945,7,cosine,,,,,3.0,0.001,,,,
97,0.3453203042348226,2,6,leaky_relu,10.0,identity,tanh,0.12637237998510303,0.00010894914980542108,7,cosine,,,,,2.0,0.001,,,,
98,0.44548988342285156,2,7,leaky_relu,11.0,gelu,tanh,0.1397950355375841,7.176458743703275e-05,6,cosine,,,,,3.0,0.001,,,,
99,0.4360364278157552,2,7,leaky_relu,10.0,relu,tanh,0.14731335461544875,0.00011776568388210826,7,cosine,,,,,4.0,0.001,,,,
