number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_gamma,schel_step_size,schel_t_max_mod,shchel_eta_min
26,0.387620210647583,7,3,8,relu,5.0,sigmoid,2.0,gelu,elu,2,max,0.06932086466915126,0.000142046134725562,8,none,,,,
27,0.37268749872843426,3,2,10,tanh,3.0,leaky_relu,,,identity,3,max,0.0880142357919298,0.0003106470964500944,9,none,,,,
28,0.24223401149113974,6,2,7,identity,6.0,relu,,,elu,3,max,0.04764425631339095,2.440391135204832e-05,10,step,0.11320023757455278,5.0,,
29,0.3774296243985494,4,3,4,gelu,4.0,relu,5.0,elu,tanh,2,mean,0.02529094054885811,5.832473213941028e-05,6,none,,,,
30,-0.3462108572324117,7,3,9,relu,3.0,relu,7.0,identity,relu,1,max,0.008637342441199791,0.0007360187203548804,9,cosine,,,5.0,0.0001
31,0.3710443377494812,7,2,9,sigmoid,2.0,relu,,,elu,3,max,0.033836125449777744,0.00024765678951591436,7,none,,,,
32,0.410964032014211,7,2,9,sigmoid,3.0,relu,,,elu,3,max,0.003221883463725171,0.00021411237218005782,7,none,,,,
33,0.4205874005953471,6,2,8,sigmoid,3.0,relu,,,elu,3,max,0.034224777525574145,0.00012001374801184674,8,none,,,,
34,0.4413264791170756,6,2,6,sigmoid,2.0,relu,,,gelu,2,max,0.052464299756975204,0.00010125338063755295,8,none,,,,
35,0.31630633274714154,6,2,6,sigmoid,6.0,leaky_relu,,,gelu,2,linear,0.06619037430683408,3.223836095506841e-05,8,none,,,,
36,0.3622937003771464,5,1,4,sigmoid,,,,,gelu,0,mean,0.07344839372140531,0.0005961186176599519,8,none,,,,
37,0.2954172690709432,6,2,6,sigmoid,4.0,sigmoid,,,gelu,1,max,0.042351437773907395,0.00013249601535274903,8,exponential,0.9847747209916178,,,
38,0.16329121589660645,5,1,5,gelu,,,,,leaky_relu,2,linear,0.13067659840063786,2.0394364123728905e-05,8,none,,,,
39,0.3962770501772563,6,2,6,elu,5.0,gelu,,,gelu,2,max,0.08179587704788872,4.120509256706278e-05,8,exponential,0.8793325115006182,,,
40,0.38839852809906006,5,1,7,sigmoid,,,,,sigmoid,1,mean,0.02533400285919979,6.790509707325993e-05,9,step,0.32910389556637737,30.0,,
41,0.40961867570877075,6,2,8,leaky_relu,2.0,relu,,,gelu,3,max,0.052958444022898996,0.00010421370782760484,10,none,,,,
42,0.4482155640920003,7,2,7,tanh,2.0,identity,,,elu,3,max,0.034620892728324686,9.022547700246751e-05,10,none,,,,
43,0.43564651409784955,6,2,7,tanh,3.0,identity,,,leaky_relu,2,max,0.03702311092511439,0.0001564717530139911,8,none,,,,
44,0.27062644561131793,2,2,7,tanh,2.0,identity,,,leaky_relu,2,linear,0.016830267633002365,0.00017191416931137957,6,none,,,,
45,0.45782917737960815,4,2,5,tanh,7.0,identity,,,leaky_relu,2,max,0.04458597407974983,7.353472017020372e-05,9,none,,,,
46,0.44986220200856525,4,2,4,tanh,7.0,identity,,,leaky_relu,2,max,0.04640589287357847,5.147136899216772e-05,9,none,,,,
47,-0.27880523602167767,4,2,4,tanh,7.0,identity,,,leaky_relu,2,max,0.04411205135124458,2.4423788897703734e-05,9,exponential,0.8520741580344275,,,
48,0.40728892882664997,4,2,3,tanh,8.0,identity,,,leaky_relu,1,max,0.06094520463770638,1.2983039994941514e-05,9,cosine,,,0.0,0.001
49,0.30599262317021686,4,2,5,tanh,7.0,identity,,,leaky_relu,0,max,0.05085794848146865,5.013149925644123e-05,9,none,,,,
50,0.22391144434611002,3,2,4,tanh,8.0,identity,,,leaky_relu,2,linear,0.029670507984825012,7.07102967899868e-05,9,none,,,,
51,0.4606321454048157,4,2,5,tanh,8.0,identity,,,leaky_relu,2,max,0.03702857145065668,8.117755033703294e-05,8,none,,,,
