number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_t_max_mod,shchel_eta_min,schel_step_size,schel_gamma
71,0.41266489028930664,4,2,4,identity,8.0,relu,,,identity,2,max,0.009656872737795835,0.0002769399805951103,9,exponential,,,,0.8642132498950358
72,0.4084022243817647,4,2,4,identity,7.0,relu,,,identity,2,max,0.008815446093366028,0.00047423415368218197,9,exponential,,,,0.8636681616090581
73,0.361755112806956,4,2,5,identity,7.0,relu,,,identity,2,max,0.012161438102859223,0.0001355069707397355,9,exponential,,,,0.8501362275969144
74,0.41567907730738324,4,2,3,identity,6.0,relu,,,identity,2,max,0.018908673504612054,0.0002924423075129879,9,exponential,,,,0.8844072180567394
75,0.34597551822662354,4,2,4,sigmoid,8.0,sigmoid,,,leaky_relu,2,max,0.09084750625836528,0.0002138090254549272,9,step,,,10.0,0.7902835579244085
76,0.3756636182467143,7,1,5,identity,,,,,leaky_relu,3,linear,0.023095982452624845,9.885581534530444e-05,6,exponential,,,,0.8735922955447113
77,0.158276637395223,3,1,4,tanh,,,,,tanh,2,mean,0.04995898346948658,0.0006161424699327443,9,exponential,,,,0.8961266341282657
78,0.2929002046585083,5,2,7,gelu,7.0,identity,,,gelu,2,max,0.005630787389208386,5.239756533349837e-05,8,exponential,,,,0.8619619734389404
79,0.42555946111679077,4,2,3,elu,4.0,elu,,,elu,1,max,0.016225681017249062,3.0165450036686218e-05,9,cosine,2.0,0.001,,
80,0.41236857573191327,5,1,2,elu,,,,,elu,1,max,0.108880121427185,3.4195557734124706e-05,10,cosine,2.0,0.001,,
81,0.4178768992424011,4,2,3,elu,4.0,elu,,,elu,1,max,0.012367373961728585,2.998507097603043e-05,9,cosine,3.0,0.001,,
82,0.4056042234102885,4,3,3,elu,5.0,elu,7.0,tanh,elu,1,max,0.015967778600661755,1.7247472624954777e-05,9,cosine,1.0,0.001,,
83,0.3904324173927307,4,2,4,elu,4.0,elu,,,elu,1,max,0.02811925285749339,2.508613911263566e-05,9,cosine,2.0,0.0,,
84,0.4211353858311971,4,3,3,relu,5.0,elu,9.0,gelu,leaky_relu,2,max,0.00018416040851145128,0.00019373012873434272,9,none,,,,
85,0.4100056091944377,4,3,2,relu,5.0,elu,9.0,gelu,leaky_relu,1,max,0.0007268114803416821,0.00018946962963464656,9,none,,,,
86,0.41498786211013794,3,3,3,relu,4.0,elu,9.0,gelu,leaky_relu,2,max,3.28766229837526e-05,0.00041271742814031086,9,none,,,,
87,0.3886175553003947,4,3,3,relu,3.0,elu,8.0,gelu,leaky_relu,0,max,0.006329477514692126,1.3809979930955334e-05,8,none,,,,
88,0.37355109055836994,4,3,2,relu,5.0,sigmoid,10.0,gelu,leaky_relu,1,max,0.08258300614894144,6.889338142603127e-05,9,none,,,,
89,0.2223378618558248,5,3,3,sigmoid,3.0,elu,9.0,sigmoid,relu,2,linear,0.07539373815191724,2.0876281076628655e-05,9,cosine,4.0,1e-06,,
90,-0.005273222923278809,6,3,6,relu,6.0,tanh,6.0,identity,leaky_relu,1,max,0.031257920772106894,0.0007847625549349329,10,none,,,,
91,0.4003520607948303,4,1,4,elu,,,,,identity,2,max,0.010851024089920122,0.00024557184644173754,9,exponential,,,,0.8763168741451053
92,0.34598888953526813,4,3,4,gelu,5.0,relu,8.0,relu,identity,2,max,0.01790736760651348,0.0005945983126750763,9,exponential,,,,0.9816614227627715
93,0.39763786395390827,4,1,5,leaky_relu,,,,,leaky_relu,2,max,0.025179781402096847,0.0001724132731084883,9,step,,,20.0,0.7942266091468062
94,0.14713605244954428,4,2,4,sigmoid,6.0,sigmoid,,,identity,2,max,0.014010077739173468,0.00035848886281852655,9,exponential,,,,0.9463973772844778
95,-0.05907509724299113,4,2,3,identity,5.0,gelu,,,sigmoid,2,max,0.019924940223977707,0.001002082121356312,9,exponential,,,,0.8689043451902787
96,0.33301711082458496,4,3,4,relu,2.0,elu,7.0,gelu,leaky_relu,2,mean,0.006245195687430389,0.00044200037932162127,9,cosine,3.0,1e-05,,
97,0.40230804681777954,3,1,3,elu,,,,,elu,2,max,0.015153688425550687,0.0002887184293863109,8,exponential,,,,0.8362056964417672
98,0.28551103671391803,4,2,5,sigmoid,6.0,identity,,,identity,1,max,0.035481608055545566,0.0001167510334425899,9,none,,,,
99,0.18798989057540894,5,1,4,tanh,,,,,leaky_relu,2,max,0.06432358786024822,4.498569840209994e-05,9,exponential,,,,0.8499212728416292
